course|band|scene|sentence|speaker|audio_id|voice_id|language|duration_ms|rendered|whisper_detected|whisper_transcript
ita_for_eng|late|16|10|Learner|b0adbfa8-ac90-43e5-86aa-e7092e172376|xai_ara|ita|2375|2026-08-22|it|  Mi dispiace, non ho contanti. 
ita_for_eng|late|16|8|Learner|383808d0-567d-4db7-9a11-50e7155f21a4|xai_ara|ita|1872|2026-08-22|it|  Possiamo pagare con la carta. 
ita_for_eng|late|17|1|Learner|28d232a1-e222-401c-865f-30ecdfe69349|xai_ara|ita|2040|2026-08-22|it|  C'è un bancomat qui vicino? 
ita_for_eng|late|18|11|Narrator|ced9c751-7feb-4ed3-af20-a0e9ba37fb20|xai_x7avnu1k|ita|5808|2026-08-22|it|  Le quattro Le otto Marzo Aprile 
ita_for_eng|late|18|7|Learner|373261e4-a63f-4d4d-83d4-367123fbc5ff|xai_ara|ita|2208|2026-08-22|it|  è corretto o ragione? 
kor_for_eng|early|10|4|Assistant|14e6d1e6-56d9-4869-9b94-b748a22650d3|xai_bf9fe5b5f981|kor|3688|2026-08-22|ko|  있는 것 같은데 직접 확인해 보셔야 할 것 같아요. 
kor_for_eng|early|2|2|Passenger|43a02d42-fc1d-4883-891f-2255e4d90b25|xai_bf9fe5b5f981|kor|3868|2026-08-22|ko|  아니요 비어있어요 점점 앉으세요 
kor_for_eng|early|7|6|Cafe Customer 1|e6009053-1888-47c9-9022-4d87d665f963|xai_bf9fe5b5f981|kor|1643|2026-08-22|ko|  테이크아웃으로 주세요. 
kor_for_eng|late|15|1|Learner|53f629e5-a015-44a4-92b0-689803935f34|azure_ko-KR-YuJinNeural|kor|1493|2026-08-22|ko|  그거 얼마예요? 
kor_for_eng|late|15|5|Learner|a02d1319-26da-435e-866c-a9f8e6e304ea|azure_ko-KR-YuJinNeural|kor|2445|2026-08-22|ko|  버스는 어디서 탈 수 있어요? 
kor_for_eng|late|15|6|Learner|07a7e0a0-9a52-49ef-b118-0360870d8b36|azure_ko-KR-YuJinNeural|kor|2410|2026-08-22|ko|  택시는 어디서 탈 수 있어요? 
kor_for_eng|late|16|3|Learner|62b29493-5fa2-495d-8c15-c90a2c90b381|azure_ko-KR-YuJinNeural|kor|2074|2026-08-22|ko|  다시 해볼 수 있을까요? 
kor_for_eng|late|16|6|Learner|8f08246a-7b2c-41e7-b76f-aeba164f3185|azure_ko-KR-YuJinNeural|kor|1578|2026-08-22|ko|  먹을 거 있어요? 
nld_for_eng|early|3|2|Sarah|3071d0c7-5cf9-4ded-89d4-9bd8ed13f4ae|xai_58d27475085e|nld|7896|2026-08-24|nl|  Goedemiddag. Ik wil graag een koffie alsjeblieft. Met melk maar zonder suiker. Om mee te nemen. 
nld_for_eng|early|8|10|Bar Customer 2|9887968c-af53-4348-9286-8ad3a9eff133|xai_58d27475085e|nld|2376|2026-08-24|nl|  Ik wil graag nog twee glazen bier. 
nld_for_eng|early|9|4|Diner 2|b8bbfa5b-05d0-45c8-9083-cd9b816fad18|xai_58d27475085e|nld|4776|2026-08-24|nl|  We willen graag een fles bruisend water en een fles plat water, alsjeblieft. 
nld_for_eng|late|16|1|Learner|3f7b7ed3-df0f-4926-be95-615093dc4e5e|xai_58d27475085e|nld|3480|2026-08-24|nl|  Maar als je langzaam kunt praten, denk ik dat we het wel redden. 
nld_for_eng|late|16|5|Learner|b84a95e4-e116-4179-9856-98f13540425a|xai_58d27475085e|nld|2144|2026-08-24|nl|  Kunnen we ook de dessertkaart zien? 
nld_for_eng|late|17|10|Learner|d22f2075-00f0-472c-af51-b9884bfa7457|xai_58d27475085e|nld|1416|2026-08-24|nl|  Het is niet slecht. 
nld_for_eng|late|18|10|Learner|48d60b54-bda0-48fb-a5cb-5fd94c569841|xai_58d27475085e|nld|3576|2026-08-24|nl|  We hebben betaald, maar mijn dochter is haar kaartje kwijt geraakt. 
nld_for_eng|late|18|11|Narrator|4d1f8b8e-b8b9-453e-a9ca-8918af20180e|xai_a13662ba951c|nld|4608|2026-08-24|nl|  4 uur 8 uur maart april 
por_br_for_eng|early|6|1|James|71bf11b5-b5ec-401b-be3f-25bf86beea33|azure_pt-BR-JulioNeural|por|5527|2026-08-22|pt|  Com licença! Olá! Qual é o seu nome? 
por_br_for_eng|early|6|9|James|128b3583-e316-47c6-aefb-c4141f30d09f|azure_pt-BR-JulioNeural|por|9476|2026-08-22|pt|  Desculpa, eu não entendi você. Estou aprendendo português brasileiro. Você pode repetir mais d
por_br_for_eng|early|9|11|Waiter|0dc7422f-53da-4bf3-9f18-28925eb13743|azure_pt-BR-JulioNeural|por|4144|2026-08-22|pt|  Claro. E o que vocês gostariam de beber? 
por_br_for_eng|late|15|10|Learner|021504f6-a599-491c-a7b7-fba2813e9607|xai_ara|por|3061|2026-08-22|pt|  Desculpe, eu não consigo falar muito rápido. 
por_br_for_eng|late|16|8|Learner|1eae466f-6453-4c57-80a0-a7b7699bc6ba|xai_ara|por|1800|2026-08-22|pt|  Podemos pagar com cartão? 
por_br_for_eng|late|17|3|Learner|d45d3aa7-3ee9-45c2-9091-34fa66e21c29|xai_ara|por|2928|2026-08-22|pt|  Podemos colocar na conta do quarto, por favor? 
por_br_for_eng|late|17|7|Learner|417785d6-975f-4c8d-9f2e-b136bcca51dc|xai_ara|por|2064|2026-08-22|pt|  Está quente hoje de novo. 
por_br_for_eng|late|18|11|Narrator|ccb804da-4ac5-4b59-bff1-573b15a173f7|azure_pt-BR-JulioNeural|por|7161|2026-08-22|pt|  Quatro horas. Oito horas. Março. Abril. 
por_for_eng|early|1|1|Neighbour (8 am)|f9befad9-dece-4d6a-8f89-752a9f274c67|rex|por|1176|2026-06-10|pl|  Bądy jest sara. 
por_for_eng|early|9|11|Waiter|4daf510a-20ce-4c1c-8a27-1f2d908c1ca8|xai_rex|por|2616|2026-08-22|pt|  Claro! E o que desejam beber? 
por_for_eng|early|9|7|Diner 1|17113d6c-ee54-4a26-943d-e0ff12e37474|xai_eve|por|1752|2026-06-10|nl|  en ik ga je deze noem ook opgeven. 
por_for_eng|late|15|11|Narrator|4c6d68a3-3da4-4380-ae91-08ae830ef02d|xai_rex|por|5880|2026-08-22|pt|  100 mil, 60, 70, uma hora, 11 horas. 
por_for_eng|late|15|3|Learner|fcca8470-7c9f-4bd9-a8da-347c5d3717f7|xai_eve|por|2871|2026-08-22|pt|  Quanto custa apanhar um táxi até a cidade? 
por_for_eng|late|16|6|Learner|7abaedd2-8a16-40b5-8d0c-ef805e7468ba|xai_eve|por|1728|2026-08-22|pt|  Tem alguma coisa para comer? 
por_for_eng|late|16|7|Learner|a7586f40-59af-4f34-9d03-d1006c60f73e|xai_eve|por|1248|2026-08-22|pt|  Podemos pagar? 
por_for_eng|late|17|1|Learner|516cb60a-ae00-44d1-bc66-dfd1327e463c|xai_eve|por|2544|2026-08-22|pt|  Há uma caixa multi banco aqui perto? 
spa_for_eng|early|1|4|Sarah|b7fa434d-a032-45f5-a737-c29afb35658c|azure_es-ES-ElviraNeural|spa|7191|2026-08-22|es|  Sí, tengo un día ocupado hoy. Espero que tengas un buen día. Hasta luego. 
spa_for_eng|early|3|3|Sarah|f27b03c1-a84f-4330-9011-1d17517f3c66|azure_es-ES-ElviraNeural|spa|1558|2026-08-22|es|  Tienen algo de comer. 
spa_for_eng|early|6|7|James|d3419b4f-3cca-4aa4-a73a-987e7a47850c|yis75yfp|spa|3384|2026-06-10|es|  Es una ciudad preciosa. ¿A qué te dedicas? 
spa_for_eng|late|15|6|Learner|e626621d-37f4-4966-8d36-6885e6edde26|azure_es-ES-ElviraNeural|spa|2099|2026-08-23|es|  donde podemos coger un taxi. 
spa_for_eng|late|16|6|Learner|f27b03c1-a84f-4330-9011-1d17517f3c66|azure_es-ES-ElviraNeural|spa|1558|2026-08-22|es|  Tienen algo de comer. 
spa_for_eng|late|17|6|Learner|21da2ebf-927d-4033-aa4b-17f7c57ba1c5|azure_es-ES-ElviraNeural|spa|2721|2026-08-23|es|  Pagaremos con tarjeta otra vez por favor. 
spa_for_eng|late|17|7|Learner|2e0142d6-94a4-46e1-a5b2-eed3f11fd0b7|azure_es-ES-ElviraNeural|spa|1964|2026-08-23|es|  Hace calor hoy, otra vez. 
spa_for_eng|late|19|7|Learner|dfd593a8-0301-4a94-b5bb-7a29db5f331a|azure_es-ES-ElviraNeural|spa|1653|2026-08-23|es|  Vamos a llegar tarde. 
swe_for_eng|early|7|1|Cafe Barista|366371d8-1059-4ac1-bb8d-91e7c7e41cf5|xai_3b312632|swe|2760|2026-08-22|sq|  gumorrom balkanja fodhej. 
swe_for_eng|early|7|5|Cafe Barista|6d5ddeaf-34c4-4962-b9fe-fee2af4055f0|xai_3b312632|swe|3863|2026-08-22|sv|  Kväll omklart. Vill du äta här eller ta med? 
swe_for_eng|early|9|18|Narrator|1ef9b4be-74dc-484d-8cf6-da8a0bfef8bc|xai_4c7f16ff|swe|4946|2026-08-22|no|  7. 9. 11. Orange. Lila. 
swe_for_eng|late|16|3|Learner|2d1fa9c0-806f-4465-89fc-1f903c80d422|xai_3b312632|swe|1533|2026-08-22|sv|  Kan vi försöka igen? 
swe_for_eng|late|17|8|Learner|9e138a2a-1c6f-4fa5-83cc-9d68c3b838ee|xai_3b312632|swe|1533|2026-08-22|no|  Er vattnet varmt? 
swe_for_eng|late|18|6|Learner|5392a664-7673-4b4b-a5f0-2838e61d7b8b|xai_3b312632|swe|1773|2026-08-22|en|  Var Gorbus Sanifron 
swe_for_eng|late|19|1|Learner|b7870bfc-cbd9-4400-a8a8-2515ad41e768|xai_3b312632|swe|1416|2026-08-22|sl|  Dej er mai glod. 
swe_for_eng|late|20|6|Learner|0821c14f-1fbc-499f-933d-bd9385a7913d|xai_3b312632|swe|1508|2026-08-22|sv|  Tack för att du hjälpte mig. 
zho_for_eng|early|5|2|Sarah|cf47e8a3-65ee-48d0-b7f0-555a003287db|33g9t0jl|zho|5376|2026-06-10|zh| 是啊 很累 我現在非常累了晚安 明天見 
zho_for_eng|early|6|13|Narrator|ca3dee71-3369-419c-88a0-c7afcbc52d68|xai_jpi39icg|zho|3958|2026-08-24|zh| 一二三白黑 
zho_for_eng|early|6|6|Anna|d7722538-6804-450c-a6e1-1b48017b7895|xai_33g9t0jl|zho|3111|2026-08-22|zh| 我是法國人 我來這裡兩年了 
zho_for_eng|late|15|1|Learner|4f9aba14-8a79-405a-8e68-79649c209cbd|xai_33g9t0jl|zho|1518|2026-08-22|zh| 那個多少錢? 
zho_for_eng|late|15|9|Learner|b5463eba-aad3-4bbb-a462-061b8b9e6e2b|xai_33g9t0jl|zho|4555|2026-08-22|zh| 我更願意試著說你的語言我覺得這樣比較禮貌 
zho_for_eng|late|16|5|Learner|f365597b-bc48-4f4a-a773-dcc26fbb51bd|xai_33g9t0jl|zho|2811|2026-08-22|zh| 我們也能看一下甜點菜單嗎? 
zho_for_eng|late|17|3|Learner|a4592050-ac61-4eeb-8b83-7e8a35746e1b|xai_33g9t0jl|zho|2315|2026-08-22|zh| 我們可以記在房費裡嗎? 
zho_for_eng|late|17|7|Learner|21251b84-5d26-42d3-8d82-ea2658a9874a|xai_33g9t0jl|zho|1543|2026-08-22|zh| 今天又很熱 
