el_for_eng:S0003L01U01	I want to learn how to speak Greek	θέλω να μάθω πώς να μιλάω ελληνικά	7d8829c6-13d8-4765-a599-2dd6d377306f
el_for_eng:S0003L01U02	I'm trying to learn how to speak Greek	προσπαθώ να μάθω πώς να μιλάω ελληνικά	792052e4-df67-49ec-880b-436d52a65a54
el_for_eng:S0003L01U03	I want to learn how to speak with you	θέλω να μάθω πώς να μιλάω μαζί σου	23da87cc-e8aa-47ff-864e-27dc6d9aa6ee
el_for_eng:S0003L01U04	I'm trying to learn how to speak Greek now	προσπαθώ να μάθω πώς να μιλάω ελληνικά τώρα	3078790a-43d8-4802-a4fd-ca9430b3a2e0
el_for_eng:S0003L01U05	I want to learn how to speak Greek with you	θέλω να μάθω πώς να μιλάω ελληνικά μαζί σου	fb818b8e-6b8a-49a7-b129-1d684ff3d78c
el_for_eng:S0003L02B01	to speak often	μιλάω συχνά	80d4a38a-f447-4557-ba02-f56331f11f3f
el_for_eng:S0003L02B02	I want to speak often	θέλω να μιλάω συχνά	e5c4bd45-0021-43e8-a1e2-b557b4999c37
el_for_eng:S0003L02B03	I'm trying to speak often	προσπαθώ να μιλάω συχνά	e92b2e81-cead-40bb-8a2e-48a1f68bb30e
el_for_eng:S0003L02U01	I want to speak Greek often	θέλω να μιλάω ελληνικά συχνά	6623700f-921e-4419-b5f4-21c7211e406e
el_for_eng:S0003L02U02	I'm trying to speak Greek often now	προσπαθώ να μιλάω ελληνικά συχνά τώρα	be1a2286-bc90-421b-9d82-118cd32ab358
el_for_eng:S0003L02U03	I want to speak with you often	θέλω να μιλάω μαζί σου συχνά	f378daaf-cf51-4c6b-a2cb-8dab5f4d0638
el_for_eng:S0003L02U04	I want to speak Greek with you often	θέλω να μιλάω ελληνικά μαζί σου συχνά	cd273ad1-dc66-4e75-85d0-e0f1f6f4bfea
el_for_eng:S0003L02U05	I'm trying to speak with you often now	προσπαθώ να μιλάω μαζί σου συχνά τώρα	a487d217-4211-4393-b36d-78a3aba68aed
el_for_eng:S0003L03B01	as often as possible	όσο πιο συχνά γίνεται	2e924c67-c49f-49c6-a831-cb18ea673e64
el_for_eng:S0003L03B02	to speak as often as possible	μιλάω όσο πιο συχνά γίνεται	8513ec27-ca43-499a-8295-9de9076ff37d
el_for_eng:S0003L03B03	I want to speak as often as possible	θέλω να μιλάω όσο πιο συχνά γίνεται	d752ca03-af9e-45d0-a5c8-6c1c416e2ce9
el_for_eng:S0003L03U01	I want to speak Greek as often as possible	θέλω να μιλάω ελληνικά όσο πιο συχνά γίνεται	fe22fb73-6a51-406d-a824-8e73d2ae4382
el_for_eng:S0003L03U02	I'm trying to speak Greek as often as possible	προσπαθώ να μιλάω ελληνικά όσο πιο συχνά γίνεται	cddc2ce9-d2cf-42bc-93bb-9ecb256bdb98
el_for_eng:S0003L03U03	I want to speak with you as often as possible	θέλω να μιλάω μαζί σου όσο πιο συχνά γίνεται	c398b51f-bc44-4743-a6be-92d5cc8084fc
el_for_eng:S0003L03U04	I want to learn Greek as often as possible	θέλω να μάθω ελληνικά όσο πιο συχνά γίνεται	355612a4-f29c-4b44-8dac-0eadfff5183b
el_for_eng:S0003L03U05	I'm trying to speak Greek with you as often as possible	προσπαθώ να μιλάω ελληνικά μαζί σου όσο πιο συχνά γίνεται	61176c70-1cb3-4a87-81ba-8c19855083d0
el_for_eng:S0003L03U06	I want to speak Greek with you as often as possible	θέλω να μιλάω ελληνικά μαζί σου όσο πιο συχνά γίνεται	63246844-27e6-41f8-b0f9-3ebb095c82c7
el_for_eng:S0004L01B01	how to say	πώς να λέω	b488af57-ff6c-46b8-8b87-50f1138668f2
el_for_eng:S0004L01B02	I want to say	θέλω να λέω	9e069408-1b90-42a8-b610-96e523b63266
el_for_eng:S0004L01B03	I'm trying to say	προσπαθώ να λέω	753c3aa6-1f9e-41b5-aea2-8f1d041511a8
el_for_eng:S0004L01U01	I want to learn how to say things in Greek	θέλω να μάθω πώς να λέω ελληνικά	80770e04-dbfb-44b4-a512-64851c4834b4
el_for_eng:S0004L01U02	I'm trying to learn how to say things often	προσπαθώ να μάθω πώς να λέω συχνά	916b4b0d-63a8-42c8-8eb8-ee17b8006139
el_for_eng:S0004L01U03	I want to say things with you now	θέλω να λέω μαζί σου τώρα	605f0d1b-c4a9-4e00-ae06-173514b5273e
el_for_eng:S0004L01U04	I'm trying to say things in Greek now	προσπαθώ να λέω ελληνικά τώρα	837bd339-544a-4047-a11a-57afca396919
el_for_eng:S0004L01U05	I want to say things in Greek as often as possible	θέλω να λέω ελληνικά όσο πιο συχνά γίνεται	e920d40a-ce16-4d6e-81e2-e83bfc69569c
el_for_eng:S0004L02B01	to say something	λέω κάτι	23c1ddb2-360b-4b9b-b1fc-45c76bec29e2
el_for_eng:S0004L02B02	I want to say something	θέλω να λέω κάτι	e31ed9ff-9351-4e5d-b8b2-1b11b9517434
el_for_eng:S0004L02B03	how to say something	πώς να λέω κάτι	405ff9e0-c7a8-46b3-89b2-2f42c9d43e03
el_for_eng:S0004L02U01	I want to say something now	θέλω να λέω κάτι τώρα	91393080-40f9-4057-b239-18e15acb0e2a
el_for_eng:S0004L02U02	I'm trying to say something in Greek	προσπαθώ να λέω κάτι ελληνικά	252ee8b7-dd6d-4a86-b49b-b7729b8e30e9
el_for_eng:S0004L02U03	I want to say something with you	θέλω να λέω κάτι μαζί σου	4a0e63d1-2ba7-4d8a-9c44-b1803ebe7d8e
el_for_eng:S0004L02U04	I want to learn how to say something	θέλω να μάθω πώς να λέω κάτι	71627004-6d6e-47fe-a5f1-012aab9a11b0
el_for_eng:S0004L02U05	I'm trying to say something often	προσπαθώ να λέω κάτι συχνά	c7fc338a-0f45-414d-81ed-bc916a4f0d6c
el_for_eng:S0004L03B01	in Greek	στα ελληνικά	a0d0f8fa-b39d-4c3d-be14-be8117ace270
el_for_eng:S0004L03B02	to say something in Greek	λέω κάτι στα ελληνικά	a6d0c1be-f09b-4525-8a3d-65d8f36bec43
el_for_eng:S0004L03B03	I want to say something in Greek	θέλω να λέω κάτι στα ελληνικά	1a4de512-2048-4534-8654-be2e49a9d9f0
el_for_eng:S0004L03B04	to speak in Greek	μιλάω στα ελληνικά	ea51d000-5c20-45ac-8c57-e8e9c11051bb
el_for_eng:S0004L03C01	Greek	ελληνικά	9cb1839d-a59d-415e-bcab-392d1484f639
el_for_eng:S0004L03U01	I want to say something in Greek now	θέλω να λέω κάτι στα ελληνικά τώρα	f0f51a6c-55c7-4fac-9892-f57c2f93e86d
el_for_eng:S0004L03U02	I'm trying to speak in Greek as often as possible	προσπαθώ να μιλάω στα ελληνικά όσο πιο συχνά γίνεται	0ea04122-6ae8-4f3b-8dcd-8b9d31b892e3
el_for_eng:S0004L03U03	I want to speak in Greek with you	θέλω να μιλάω στα ελληνικά μαζί σου	d7f94ac9-9fcf-4c0a-ae62-5dc63ba9bdfc
el_for_eng:S0004L03U04	I want to say something in Greek with you now	θέλω να λέω κάτι στα ελληνικά μαζί σου τώρα	54ac3bb0-d0da-4d86-a91f-c137bf1c172e
el_for_eng:S0004L03U05	I'm trying to learn how to say something in Greek	προσπαθώ να μάθω πώς να λέω κάτι στα ελληνικά	dcf01ff9-d334-4954-97b1-85cee7daadad
el_for_eng:S0004L03U06	I want to speak in Greek as often as possible	θέλω να μιλάω στα ελληνικά όσο πιο συχνά γίνεται	761c54f4-76c0-470f-9eff-0114a07aa9d6
el_for_eng:S0005L01B01	I'm going to practise	θα εξασκηθώ να	7c71592b-4f65-45a9-86a2-66f5d953cd05
el_for_eng:S0005L01B02	I'm going to practise speaking	θα εξασκηθώ να μιλάω	4ae4c2de-6966-490e-ba97-6fb9cbf46242
el_for_eng:S0005L01B03	I'm going to practise speaking Greek	θα εξασκηθώ να μιλάω ελληνικά	a9b446b1-2dc1-46eb-9022-4d9e2e429c15
el_for_eng:S0005L01B04	I'm going to practise saying something	θα εξασκηθώ να λέω κάτι	ea93ea01-7930-420c-b84a-6f276b3696e4
el_for_eng:S0005L01C01	practise	εξασκηθώ	0e25f989-acfc-44d4-94b9-c059caf5b366
el_for_eng:S0005L01U01	I'm going to practise speaking Greek now	θα εξασκηθώ να μιλάω ελληνικά τώρα	ab133055-ebfd-40fa-af9a-710868f02ffc
el_for_eng:S0005L01U02	I'm going to practise speaking in Greek as often as possible	θα εξασκηθώ να μιλάω στα ελληνικά όσο πιο συχνά γίνεται	41aeafaa-4f71-4b84-a0c6-3459a5043038
el_for_eng:S0005L01U03	I'm going to practise speaking Greek with you	θα εξασκηθώ να μιλάω ελληνικά μαζί σου	7ea9d3f4-825c-4576-88e1-e859a130f9ce
el_for_eng:S0005L01U04	I'm going to practise saying something in Greek	θα εξασκηθώ να λέω κάτι στα ελληνικά	5c4143b8-f95e-4d78-8cbf-1697a7d9466e
el_for_eng:S0005L01U05	I'm going to practise speaking Greek with you now	θα εξασκηθώ να μιλάω ελληνικά μαζί σου τώρα	49c3ff71-c7f1-4346-8f28-b7a65b704610
el_for_eng:S0005L01U06	I'm going to practise saying something in Greek with you	θα εξασκηθώ να λέω κάτι στα ελληνικά μαζί σου	a21e33b7-0c4b-4548-9241-477372b98fe8
el_for_eng:S0005L02B01	with someone else	με κάποιον άλλο	5a5b1912-5e42-4625-9cc8-e141ca03c0bd
el_for_eng:S0005L02B02	to speak with someone else	μιλάω με κάποιον άλλο	0d93f6cb-e018-4dc0-a62d-5940a522eb12
el_for_eng:S0005L02B03	to say something with someone else	λέω κάτι με κάποιον άλλο	f7c65df5-a471-4eef-ad65-cb62344e6d77
el_for_eng:S0005L02B04	I'm going to practise speaking with someone else	θα εξασκηθώ να μιλάω με κάποιον άλλο	0290cfa1-e78d-442b-b744-d4317cdcc830
el_for_eng:S0005L02U01	I'm going to practise speaking with someone else now	θα εξασκηθώ να μιλάω με κάποιον άλλο τώρα	fd5ed5f8-adb5-4a4d-9906-3b1e28da7419
el_for_eng:S0005L02U02	I want to speak Greek with someone else	θέλω να μιλάω ελληνικά με κάποιον άλλο	6aa609b3-9cc9-453b-ae98-7162858bc7fa
el_for_eng:S0005L02U03	I'm trying to speak Greek with someone else as often as possible	προσπαθώ να μιλάω ελληνικά με κάποιον άλλο όσο πιο συχνά γίνεται	806b7b77-9fc1-4d5a-a7ff-55c6998d33fa
el_for_eng:S0005L02U04	I'm going to practise speaking in Greek with someone else	θα εξασκηθώ να μιλάω στα ελληνικά με κάποιον άλλο	5671b3b1-6729-4201-9e37-e00609db052d
el_for_eng:S0005L02U05	I want to speak Greek with someone else now	θέλω να μιλάω ελληνικά με κάποιον άλλο τώρα	dcda771a-7aec-4500-9e87-0647c401844d
el_for_eng:S0005L02U06	I want to say something in Greek to someone else	θέλω να λέω κάτι στα ελληνικά με κάποιον άλλο	68f1d579-c96e-4b67-a3f1-a989beb4a318
el_for_eng:S0006L01B01	I'm trying to remember	προσπαθώ να θυμηθώ	7c79ee93-5e06-4ef5-9a07-d6d82a07d2c9
el_for_eng:S0006L01B02	I want to remember	θέλω να θυμηθώ	29fc732c-b5e2-41b4-bfb8-673b0b258f92
el_for_eng:S0006L01B03	I'm trying to remember something	προσπαθώ να θυμηθώ κάτι	80c466a6-b620-468d-9312-99b7c9c5778c
el_for_eng:S0006L01U01	I'm trying to remember something in Greek	προσπαθώ να θυμηθώ κάτι στα ελληνικά	a49247a4-d6eb-47c8-a126-04422fa62f72
el_for_eng:S0006L01U02	I want to remember how to say something in Greek	θέλω να θυμηθώ πώς να λέω κάτι στα ελληνικά	9fbe3eba-3ee3-4146-857b-2442259e6343
el_for_eng:S0006L01U03	I'm trying to remember how to speak Greek	προσπαθώ να θυμηθώ πώς να μιλάω ελληνικά	65b0f1f3-8dfe-4b02-80f5-693301ce859c
el_for_eng:S0006L01U04	I want to remember something now	θέλω να θυμηθώ κάτι τώρα	0896ef39-09cd-48bf-b837-2f8dc8c94d65
el_for_eng:S0006L01U05	I want to remember something in Greek with you	θέλω να θυμηθώ κάτι στα ελληνικά μαζί σου	bc73a0d1-7166-497e-940d-ffcebd7f1a33
el_for_eng:S0006L01U06	I'm trying to remember how to say something with someone else	προσπαθώ να θυμηθώ πώς να λέω κάτι με κάποιον άλλο	d79e1cfb-67b7-4b0e-a030-50caeb7058c7
el_for_eng:S0006L02B01	I'm trying to remember a word	προσπαθώ να θυμηθώ μια λέξη	194edbda-fc02-497b-bd61-9e5f1408735f
el_for_eng:S0006L02B02	I want to remember a word	θέλω να θυμηθώ μια λέξη	dca71237-0baf-4572-8825-d6530bcfc454
el_for_eng:S0006L02B03	how to say a word in Greek	πώς να λέω μια λέξη στα ελληνικά	49c93d5d-adeb-49b1-9635-cf50001ecf91
el_for_eng:S0006L02U01	I'm trying to remember a word in Greek	προσπαθώ να θυμηθώ μια λέξη στα ελληνικά	bd051ebe-e8aa-491a-a553-23dac24556a0
el_for_eng:S0006L02U02	I want to say a word in Greek now	θέλω να λέω μια λέξη στα ελληνικά τώρα	9c44594f-3b63-434a-8590-ffe77572ea0b
el_for_eng:S0006L02U03	I'm going to practise saying a word in Greek	θα εξασκηθώ να λέω μια λέξη στα ελληνικά	9b6b8125-07f0-4d1d-b6c5-06f71a1aef7b
el_for_eng:S0006L02U04	I want to remember a word now	θέλω να θυμηθώ μια λέξη τώρα	6aa77e9f-9cea-428d-90e6-a44d403d2c7d
el_for_eng:S0006L02U05	I'm trying to remember a Greek word with you	προσπαθώ να θυμηθώ μια λέξη στα ελληνικά μαζί σου	4503ef66-6c2b-4cb9-8428-ebff05d67f0f
el_for_eng:S0006L02U06	I want to say a word in Greek as often as possible	θέλω να λέω μια λέξη στα ελληνικά όσο πιο συχνά γίνεται	152e66af-a91a-4467-b602-d96c212fde74
el_for_eng:S0007L01B01	I want to try	θέλω να προσπαθήσω	00f9cd6f-16ac-42fc-8a6e-341cd22c384e
el_for_eng:S0007L01B02	I want to try now	θέλω να προσπαθήσω τώρα	90a3eb54-4f74-4173-ae22-22aeb7250895
el_for_eng:S0007L01B03	I want to try with you	θέλω να προσπαθήσω μαζί σου	5274bc8d-8654-4538-bab0-b4ce9a160add
el_for_eng:S0007L01U01	I want to try with you now	θέλω να προσπαθήσω μαζί σου τώρα	2a3d6c23-892f-4e40-bc07-3b7b49b5a149
el_for_eng:S0007L01U02	I want to try with someone else now	θέλω να προσπαθήσω με κάποιον άλλο τώρα	c6b39504-15fb-42bf-b83a-53a7ba652388
el_for_eng:S0007L01U03	I want to try something in Greek	θέλω να προσπαθήσω κάτι στα ελληνικά	a4606196-9469-464f-a26e-187fc00badda
el_for_eng:S0007L01U04	I want to try something with you	θέλω να προσπαθήσω κάτι μαζί σου	6670439a-636e-47df-a4e4-9a32c2e21962
el_for_eng:S0007L01U05	I want to try something in Greek with you now	θέλω να προσπαθήσω κάτι στα ελληνικά μαζί σου τώρα	bf646a1c-ff05-4499-a3a3-efc32c41709a
el_for_eng:S0007L02B01	as much as I can	όσο μπορώ	189c2d75-e07c-4dd7-8286-c7d1ab5cbfc8
el_for_eng:S0007L02B02	I want to try as much as I can	θέλω να προσπαθήσω όσο μπορώ	23da2929-213b-461f-b349-59c987167acb
el_for_eng:S0007L02B03	to speak as much as I can	μιλάω όσο μπορώ	b0bee911-3267-4eb3-98d2-f38439df50b1
el_for_eng:S0007L02B04	to learn as much as I can	μάθω όσο μπορώ	c64f2f33-cfb7-4d19-a8ff-c7a5cc3e9256
el_for_eng:S0007L02U01	I want to try as much as I can now	θέλω να προσπαθήσω όσο μπορώ τώρα	1ac46519-1d81-4dd0-8e22-90536189712a
el_for_eng:S0007L02U02	I want to speak Greek as much as I can	θέλω να μιλάω ελληνικά όσο μπορώ	f8cd2dc4-0b52-47c0-a0d9-db1cf502d7da
el_for_eng:S0007L02U03	I'm trying to speak Greek as much as I can	προσπαθώ να μιλάω ελληνικά όσο μπορώ	ab0eade9-6b20-4eae-a9b7-5959e569ada3
el_for_eng:S0007L02U04	I want to learn as much as I can now	θέλω να μάθω όσο μπορώ τώρα	c74ece3d-26cf-41bf-a8ff-532225017d53
el_for_eng:S0007L02U05	I want to try as much as I can with you	θέλω να προσπαθήσω όσο μπορώ μαζί σου	67882406-0871-4cd8-8f71-2a3f182aa69b
el_for_eng:S0007L02U06	I'm going to practise speaking Greek as much as I can	θα εξασκηθώ να μιλάω ελληνικά όσο μπορώ	909ae718-db95-42e3-ba0c-917a514e9889
el_for_eng:S0007L03B01	I want to try today	θέλω να προσπαθήσω σήμερα	ad6f9038-df1e-44d6-b5f4-06e9ed7bca30
el_for_eng:S0007L03B02	I want to try as much as I can today	θέλω να προσπαθήσω όσο μπορώ σήμερα	be8fc065-e210-4dca-8c2c-6955ee49ff16
el_for_eng:S0007L03B03	I'm trying to speak Greek today	προσπαθώ να μιλάω ελληνικά σήμερα	5186356a-1473-41a3-8753-d28277e38dc3
el_for_eng:S0007L03U01	I want to speak Greek today	θέλω να μιλάω ελληνικά σήμερα	85bf0bdb-19ac-4c09-9e6e-293893fbb7b0
el_for_eng:S0007L03U02	I'm going to practise speaking Greek today	θα εξασκηθώ να μιλάω ελληνικά σήμερα	61ce6206-5b82-4f25-ab8a-1ff88a9aa041
el_for_eng:S0007L03U03	I'm trying to learn Greek today	προσπαθώ να μάθω ελληνικά σήμερα	baa1a43f-d2d4-4a4a-acab-5d305161688a
el_for_eng:S0007L03U04	I want to say something in Greek today	θέλω να λέω κάτι στα ελληνικά σήμερα	8ebf8775-acd3-4b8b-bbed-bb64d2c71516
el_for_eng:S0007L03U05	I want to speak with you as much as I can today	θέλω να μιλάω μαζί σου όσο μπορώ σήμερα	3e5e50a0-2a1c-4809-acc4-eb84b612aebb
el_for_eng:S0007L03U06	I'm going to practise speaking with someone else today	θα εξασκηθώ να μιλάω με κάποιον άλλο σήμερα	6d7c171d-af42-4adf-942c-ffc87fd5da60
el_for_eng:S0008L01B01	I'm going to try to	θα προσπαθήσω να	830910d5-7f65-4526-aad2-8a5b1d14c0a2
el_for_eng:S0008L01B02	I'm going to try to speak	θα προσπαθήσω να μιλάω	e193a46c-5b9f-4be8-b8f6-03809c21ae5c
el_for_eng:S0008L01B03	I'm going to try to say something	θα προσπαθήσω να λέω κάτι	d523c5e3-0b11-456f-bfae-e18f00ea64d2
el_for_eng:S0008L01B04	I'm going to try to remember	θα προσπαθήσω να θυμηθώ	9b26c530-570d-418b-9ee3-d3e6f74079dc
el_for_eng:S0008L01C01	to try	προσπαθήσω	6a115c5a-f432-4c24-9c46-349676a1f296
el_for_eng:S0008L01U01	I'm going to try to speak Greek today	θα προσπαθήσω να μιλάω ελληνικά σήμερα	39067b45-87da-4055-aa92-5880c5babbab
el_for_eng:S0008L01U02	I'm going to try to speak Greek as much as I can	θα προσπαθήσω να μιλάω ελληνικά όσο μπορώ	bda74979-d586-43c4-845c-9dc99741d7e1
el_for_eng:S0008L01U03	I'm going to try to say something in Greek now	θα προσπαθήσω να λέω κάτι στα ελληνικά τώρα	2f596f76-4b65-4a0d-898e-4149f1a449ac
el_for_eng:S0008L01U04	I'm going to try to speak with someone else today	θα προσπαθήσω να μιλάω με κάποιον άλλο σήμερα	882c66ed-bea1-49ac-a265-4f4b5f554e4b
el_for_eng:S0008L01U05	I'm going to try to remember a word in Greek	θα προσπαθήσω να θυμηθώ μια λέξη στα ελληνικά	cccd3d82-595d-40c0-a9a8-7014cd01ecc4
el_for_eng:S0008L01U06	I'm going to try to speak Greek as often as possible	θα προσπαθήσω να μιλάω ελληνικά όσο πιο συχνά γίνεται	bb0e16c4-8502-429b-8966-b8874dfad9f2
el_for_eng:S0008L02B01	I'm going to try to explain	θα προσπαθήσω να εξηγήσω	87e783f9-8c4d-4e37-8491-ca7134c278a5
el_for_eng:S0008L02B02	I want to explain	θέλω να εξηγήσω	0eaba807-221a-4aac-86a5-a2a961770404
el_for_eng:S0008L02B03	I'm going to try to explain something	θα προσπαθήσω να εξηγήσω κάτι	06d4efa2-5482-4bfd-ad9a-a3eb407d110f
el_for_eng:S0008L02U01	I'm going to try to explain something in Greek	θα προσπαθήσω να εξηγήσω κάτι στα ελληνικά	bf7b7bb1-7bea-4e59-9613-8c1e8522686a
el_for_eng:S0008L02U02	I want to explain something with you now	θέλω να εξηγήσω κάτι μαζί σου τώρα	e23760c0-78f6-43d1-8031-e751a928993a
el_for_eng:S0008L02U03	I'm going to try to explain something in Greek today	θα προσπαθήσω να εξηγήσω κάτι στα ελληνικά σήμερα	5238f729-10e2-420c-840d-896099762482
el_for_eng:S0008L02U04	I want to explain how to speak Greek	θέλω να εξηγήσω πώς να μιλάω ελληνικά	87e6d91b-85df-4123-924f-fca11faf1cf9
el_for_eng:S0008L02U05	I'm going to try to explain something to someone else	θα προσπαθήσω να εξηγήσω κάτι με κάποιον άλλο	2875795f-a911-4b0f-9532-7d2b22d651e3
el_for_eng:S0008L02U06	I want to explain something in Greek as often as possible	θέλω να εξηγήσω κάτι στα ελληνικά όσο πιο συχνά γίνεται	97c3fd92-acc1-4443-bfd4-d32ac3ad98bc
el_for_eng:S0008L03B01	what I mean	τι εννοώ	3e12bd47-60fb-4075-9cdc-4793f6eb2457
el_for_eng:S0008L03B02	I'm going to try to explain what I mean	θα προσπαθήσω να εξηγήσω τι εννοώ	7337a2a8-1e6d-4e00-ba86-e60eae03ba8c
el_for_eng:S0008L03B03	I want to explain what I mean	θέλω να εξηγήσω τι εννοώ	670d4284-9323-4a10-b749-6648bdaecf3f
el_for_eng:S0008L03B04	I'm trying to say what I mean	προσπαθώ να λέω τι εννοώ	cf54214c-0349-4e1d-a392-a880482e9896
el_for_eng:S0008L03C01	what	τι	2151d2eb-445a-48a2-b2c2-bb3b5a8e8f8c
el_for_eng:S0008L03C02	I mean	εννοώ	bcaa831f-7b86-458d-bdce-1346a831fc9e
el_for_eng:S0008L03U01	I'm going to try to explain what I mean in Greek	θα προσπαθήσω να εξηγήσω τι εννοώ στα ελληνικά	808b02e8-d6e6-4753-80cf-cf1cc8b9c2ca
el_for_eng:S0008L03U02	I want to explain what I mean with you now	θέλω να εξηγήσω τι εννοώ μαζί σου τώρα	035c5307-7fc6-471c-ad16-455ad5c9b3d2
el_for_eng:S0008L03U03	I'm trying to say what I mean in Greek	προσπαθώ να λέω τι εννοώ στα ελληνικά	7bc24c94-28ff-4375-9518-0a8dd7a0a86f
el_for_eng:S0008L03U04	I want to explain what I mean as much as I can	θέλω να εξηγήσω τι εννοώ όσο μπορώ	002d2128-d4bd-4bf8-b6bd-f010abe62ae5
el_for_eng:S0008L03U05	I'm going to try to explain what I mean today	θα προσπαθήσω να εξηγήσω τι εννοώ σήμερα	2186be1f-3df5-4c41-9d6c-96a1723b6ac5
el_for_eng:S0008L03U06	I want to explain what I mean to someone else	θέλω να εξηγήσω τι εννοώ με κάποιον άλλο	3fb670d2-6642-4790-91cd-630736fba7c7
el_for_eng:S0009L01B01	I speak a little Greek	μιλάω λίγα ελληνικά	76bb5328-af90-4a82-adda-020f228e77ca
el_for_eng:S0009L01B02	I want to say a little in Greek	θέλω να λέω λίγα στα ελληνικά	6ee9502a-d69f-474a-a021-3d973065b17d
el_for_eng:S0009L01B03	I'm trying to learn a little	προσπαθώ να μάθω λίγα	8ed1612c-d7dd-46b6-97fe-6fce3b1dac7b
el_for_eng:S0009L01U01	I speak a little Greek with you now	μιλάω λίγα ελληνικά μαζί σου τώρα	a1505650-d64d-4bfa-b520-f9db3c1feb9b
el_for_eng:S0009L01U02	I want to speak a little Greek today	θέλω να μιλάω λίγα ελληνικά σήμερα	01f84a9f-3c11-46b3-9e1a-2f0218ace3ad
el_for_eng:S0009L01U03	I'm trying to learn a little Greek	προσπαθώ να μάθω λίγα ελληνικά	d37b186b-daaa-422e-80f9-04c80de49274
