Original,Changed
"espero que termines pronto porque estoy agradecido a ti por ayudar","espero que termines pronto porque estoy agradecida a ti por ayudar"
"Pero estaba equivocado.","Pero estaba equivocada."
"estaba equivocado","estaba equivocada"
"Estaba equivocado","Estaba equivocada"
"Estaba equivocado hoy","Estaba equivocada hoy"
"Pero estaba equivocado","Pero estaba equivocada"
"Estaba equivocado el primer día","Estaba equivocada el primer día"
"Estaba equivocado sobre el trabajo","Estaba equivocada sobre el trabajo"
"Solía pensar que ser loco era malo pero estaba equivocado","Solía pensar que ser loco era malo pero estaba equivocada"
"Estaba equivocado a menos que tengan suficiente suerte para ganar el juego hoy","Estaba equivocada a menos que tengan suficiente suerte para ganar el juego hoy"
"Pero estaba equivocado sobre elegir el trabajo equivocado el primer día","Pero estaba equivocada sobre elegir el trabajo equivocado el primer día"
"Estaba equivocado mientras no escuchará cada palabra que dices con este clima","Estaba equivocada mientras no escuchará cada palabra que dices con este clima"
"Solía pensar que ser loco era malo pero estaba equivocado el primer día del año nuevo","Solía pensar que ser loco era malo pero estaba equivocada el primer día del año nuevo"
"Que ser loco estaba equivocado","Que ser loco estaba equivocada"
"Solía pensar que ser loco era malo pero estaba equivocado hoy","Solía pensar que ser loco era malo pero estaba equivocada hoy"
"No quiero parecer equivocado hoy","No quiero parecer equivocada hoy"
"No quiero parecer como si estuviera equivocado","No quiero parecer como si estuviera equivocada"
"No quiero parecer como si estuviera equivocado pero solía pensar que ser loco era malo","No quiero parecer como si estuviera equivocada pero solía pensar que ser loco era malo"
"No quiero parecer como si no me importara estar equivocado","No quiero parecer como si no me importara estar equivocada"
"No quiero parecer como si no me importara el trabajo equivocado hoy","No quiero parecer como si no me importara el trabajo equivocado hoy"
"No quiero parecer como si no me importara pero estaba equivocado el primer día del año nuevo","No quiero parecer como si no me importara pero estaba equivocada el primer día del año nuevo"
"ella tenía razón, yo estaba equivocado","ella tenía razón, yo estaba equivocada"
"Estoy contento hasta ahora.","Estoy contenta hasta ahora."
"Estoy contento","Estoy contenta"
"Estoy contento aquí","Estoy contenta aquí"
"Estoy contento ahora","Estoy contenta ahora"
"Estoy contento con eso","Estoy contenta con eso"
"Estoy contento de ayudar","Estoy contenta de ayudar"
"Estoy contento de verte mañana","Estoy contenta de verte mañana"
"Sí estoy contento de hablar de algo diferente en el trabajo","Sí estoy contenta de hablar de algo diferente en el trabajo"
"Estoy contento aunque tengo que llevar a mi madre al doctor","Estoy contenta aunque tengo que llevar a mi madre al doctor"
"Estoy contento hasta ahora","Estoy contenta hasta ahora"
"Estoy contento con lo que vi hasta ahora","Estoy contenta con lo que vi hasta ahora"
"Estoy contento hasta ahora aunque no las he visto en la oficina","Estoy contenta hasta ahora aunque no las he visto en la oficina"
"Sí estoy contento así que no necesito ir al doctor","Sí estoy contenta así que no necesito ir al doctor"
"Sí estoy contento esa es una buena idea hasta ahora","Sí estoy contenta esa es una buena idea hasta ahora"
"No estoy contento hasta ahora no me importa en absoluto sobre eso","No estoy contenta hasta ahora no me importa en absoluto sobre eso"
"Estoy ocupado pero estoy contento de hablar de eso más tarde","Estoy ocupada pero estoy contenta de hablar de eso más tarde"
"Estoy contento hasta ahora pero estoy ocupado por la noche en todo momento","Estoy contenta hasta ahora pero estoy ocupada por la noche en todo momento"
"Estoy contento con cuánto he hecho en poco tiempo.","Estoy contenta con cuánto he hecho en poco tiempo."
"Estoy contento con cuánto he hecho","Estoy contenta con cuánto he hecho"
"Estoy contento con cuánto he hecho hoy","Estoy contenta con cuánto he hecho hoy"
"Estoy contento con cuánto he hecho esta semana","Estoy contenta con cuánto he hecho esta semana"
"Estoy contento con cuánto he hecho hasta ahora","Estoy contenta con cuánto he hecho hasta ahora"
"Estoy contento con cuánto he hecho en tan poco tiempo","Estoy contenta con cuánto he hecho en tan poco tiempo"
"Estoy contento con cuánto he hecho pero sé que todavía hay más que aprender","Estoy contenta con cuánto he hecho pero sé que todavía hay más que aprender"
"Estoy ocupado mañana por la noche.","Estoy ocupada mañana por la noche."
"Estoy ocupado","Estoy ocupada"
"Estoy ocupado ahora","Estoy ocupada ahora"
"Estoy ocupado mañana","Estoy ocupada mañana"
"Estoy ocupado hoy","Estoy ocupada hoy"
"Estoy ocupado en el trabajo","Estoy ocupada en el trabajo"
"Estoy ocupado así que no puedo ayudar","Estoy ocupada así que no puedo ayudar"
"Estoy ocupado hasta ahora hoy pero esa es una buena idea para mañana","Estoy ocupada hasta ahora hoy pero esa es una buena idea para mañana"
"Estoy ocupado mañana por la noche","Estoy ocupada mañana por la noche"
"Estoy ocupado en el trabajo así que no puedo venir mañana por la noche","Estoy ocupada en el trabajo así que no puedo venir mañana por la noche"
"Estoy ocupado por la noche","Estoy ocupada por la noche"
"estoy ocupado así que estoy intentando encontrar lo que estás buscando","estoy ocupada así que estoy intentando encontrar lo que estás buscando"
"Dicen que estoy ocupado","Dicen que estoy ocupada"
"Cuando sea que te sientas enojado.","Cuando sea que te sientas enojada."
"cuando sea que te sientas enojado","cuando sea que te sientas enojada"
"cuando sea que te sientas enojado, es una buena idea respirar despacio","cuando sea que te sientas enojada, es una buena idea respirar despacio"
"te sientas enojado","te sientas enojada"
"cuando te sientas enojado","cuando te sientas enojada"
"si te sientas enojado ahora","si te sientas enojada ahora"
"sé que te sientas enojado","sé que te sientas enojada"
"cuando sea que te sientas enojado por algo","cuando sea que te sientas enojada por algo"
"no quiero que te sientas enojado, pero si te sientas enojado, creo que respirar ayuda","no quiero que te sientas enojada, pero si te sientas enojada, creo que respirar ayuda"
"quien sea que dijo que es una buena idea respirar despacio cuando te sientas enojado tenía razón","quien sea que dijo que es una buena idea respirar despacio cuando te sientas enojada tenía razón"
"es tu turno de intentar respirar despacio cuando te sientas enojado","es tu turno de intentar respirar despacio cuando te sientas enojada"
"es bueno respirar despacio cuando estás enojado","es bueno respirar despacio cuando estás enojada"
"creo que me estoy sintiendo enojado","creo que me estoy sintiendo enojada"
"me estoy sintiendo enojado porque es tu turno de llevar la ropa limpia arriba","me estoy sintiendo enojada porque es tu turno de llevar la ropa limpia arriba"
"Pero estoy un poco cansado esta mañana.","Pero estoy un poco cansada esta mañana."
"estoy un poco cansado","estoy un poco cansada"
"estoy un poco cansado en este momento","estoy un poco cansada en este momento"
"pero estoy un poco cansado en este momento","pero estoy un poco cansada en este momento"
"Me siento bien, pero estoy comenzando a sentirme cansado.","Me siento bien, pero estoy comenzando a sentirme cansada."
"estoy comenzando a sentirme cansado","estoy comenzando a sentirme cansada"
"estoy comenzando a sentirme cansado ahora","estoy comenzando a sentirme cansada ahora"
"no estoy comenzando a sentirme cansado","no estoy comenzando a sentirme cansada"
"estoy comenzando a sentirme cansado después de hablar","estoy comenzando a sentirme cansada después de hablar"
"No disfruto hacer eso cuando estoy cansado","No disfruto hacer eso cuando estoy cansada"
"Pienso que estás cansado","Pienso que estás cansada"
"Y estoy demasiado cansado para traer una nueva.","Y estoy demasiado cansada para traer una nueva."
"estoy demasiado cansado","estoy demasiado cansada"
"estoy demasiado cansado ahora","estoy demasiado cansada ahora"
"estoy demasiado cansado arriba","estoy demasiado cansada arriba"
"estoy demasiado cansado para jugar","estoy demasiado cansada para jugar"
"estoy demasiado cansado para estar callado","estoy demasiado cansada para estar callada"
"estoy demasiado cansado para traer la toalla","estoy demasiado cansada para traer la toalla"
"estoy demasiado cansado para llevar la ropa limpia arriba","estoy demasiado cansada para llevar la ropa limpia arriba"
"estoy demasiado cansado para jugar con el perro porque tengo que estar callado","estoy demasiado cansada para jugar con el perro porque tengo que estar callada"
"estoy demasiado cansado para traer la toalla limpia arriba porque el perro ha estado jugando","estoy demasiado cansada para traer la toalla limpia arriba porque el perro ha estado jugando"
"estoy demasiado cansado para traer la","estoy demasiado cansada para traer la"
"estoy demasiado cansado para traer una nueva","estoy demasiado cansada para traer una nueva"
"desearía que el perro estuviera callado en la noche porque estoy demasiado cansado para jugar","desearía que el perro estuviera callado en la noche porque estoy demasiado cansada para jugar"
"desearía que no tocaran tarde en la noche porque estoy demasiado cansado para estar callado","desearía que no tocaran tarde en la noche porque estoy demasiado cansada para estar callada"
"tocan música tan alta tarde en la noche cuando sea que me estoy sintiendo cansado","tocan música tan alta tarde en la noche cuando sea que me estoy sintiendo cansada"
"es tan tarde y estoy demasiado cansado para traer una toalla nueva arriba","es tan tarde y estoy demasiado cansada para traer una toalla nueva arriba"
"es tan tarde en la noche y estoy demasiado cansado para estar callado arriba","es tan tarde en la noche y estoy demasiado cansada para estar callada arriba"
"has encontrado la toalla limpia arriba porque estoy demasiado cansado para traer la","has encontrado la toalla limpia arriba porque estoy demasiado cansada para traer la"
"por el bosque es tan tarde en la noche que estoy cansado","por el bosque es tan tarde en la noche que estoy cansada"
"has encontrado el camino hacia abajo a la playa porque estoy demasiado cansado para caminar por el bosque","has encontrado el camino hacia abajo a la playa porque estoy demasiado cansada para caminar por el bosque"
"solo quiero llegar allí pero estoy demasiado cansado para caminar tarde en la noche","solo quiero llegar allí pero estoy demasiado cansada para caminar tarde en la noche"
"solo quiero llegar allí pero estoy demasiado cansado para caminar en la noche","solo quiero llegar allí pero estoy demasiado cansada para caminar en la noche"
"solo quiero llegar allí con seguridad pero estoy demasiado cansado para caminar hacia abajo a la playa tarde en la noche","solo quiero llegar allí con seguridad pero estoy demasiado cansada para caminar hacia abajo a la playa tarde en la noche"
"no habría podido continuar porque estoy demasiado cansado para caminar","no habría podido continuar porque estoy demasiado cansada para caminar"
"no habría podido continuar porque estoy demasiado cansado para caminar tarde en la noche","no habría podido continuar porque estoy demasiado cansada para caminar tarde en la noche"
"solo quiero continuar más tiempo pero estoy demasiado cansado para caminar","solo quiero continuar más tiempo pero estoy demasiado cansada para caminar"
"no habría podido continuar más tiempo porque estoy demasiado cansado","no habría podido continuar más tiempo porque estoy demasiado cansada"
"no habría podido encontrar un carro rápido sin tu ayuda cuando sea que estoy cansado","no habría podido encontrar un carro rápido sin tu ayuda cuando sea que estoy cansada"
"necesito tumbarme porque estoy muy cansado","necesito tumbarme porque estoy muy cansada"
"Habría conducido si me hubieras dicho lo cansado que estabas.","Habría conducido si me hubieras dicho lo cansada que estabas."
"lo cansado que estabas","lo cansada que estabas"
"vi lo cansado que estabas","vi lo cansada que estabas"
"sabía lo cansado que estabas","sabía lo cansada que estabas"
"oí sobre lo cansado que estabas","oí sobre lo cansada que estabas"
"Ella me dijo lo cansado que estabas","Ella me dijo lo cansada que estabas"
"habría conducido si hubiera sabido lo cansado que estabas","habría conducido si hubiera sabido lo cansada que estabas"
"habría estado feliz de conducir a las tiendas si hubiera sabido lo cansado que estabas","habría estado feliz de conducir a las tiendas si hubiera sabido lo cansada que estabas"
"debería haber sabido en primer lugar lo cansado que estabas","debería haber sabido en primer lugar lo cansada que estabas"
"habría esperado si me hubieras dicho lo cansado que estabas","habría esperado si me hubieras dicho lo cansada que estabas"
"hecho las cosas diferente si hubiera sabido lo cansado que estabas en ese momento","hecho las cosas diferente si hubiera sabido lo cansada que estabas en ese momento"
"yo habría estado preparado para conducir si hubiera sabido lo cansado que estabas","yo habría estado preparada para conducir si hubiera sabido lo cansada que estabas"
"Estoy solo.","Estoy sola."
"Estoy solo ahora mismo.","Estoy sola ahora mismo."
"Estoy solo y nada me haría más feliz que escapar.","Estoy sola y nada me haría más feliz que escapar."
"me estoy sintiendo triste porque se está haciendo tarde y estoy solo","me estoy sintiendo triste porque se está haciendo tarde y estoy sola"
"No estoy seguro de cuándo estaré preparado.","No estoy segura de cuándo estaré preparada."
"cuándo estaré preparado","cuándo estaré preparada"
"No estoy seguro de cuándo quieres comenzar, pero estaré preparado","No estoy segura de cuándo quieres comenzar, pero estaré preparada"
"No estoy de acuerdo con lo que dijiste sobre cuándo estaré preparado","No estoy de acuerdo con lo que dijiste sobre cuándo estaré preparada"
"No estoy preparado, no conozco a esas","No estoy preparada, no conozco a esas"
"No estoy preparado para hablar con personas que no conozco todavía.","No estoy preparada para hablar con personas que no conozco todavía."
"no estoy preparado","no estoy preparada"
"No estoy preparado","No estoy preparada"
"No estoy preparado para comenzar a hablar","No estoy preparada para comenzar a hablar"
"Pienso que no estoy preparado para hablar con esas personas","Pienso que no estoy preparada para hablar con esas personas"
"No estoy preparado para hablar español en este momento","No estoy preparada para hablar español en este momento"
"No estoy preparado, pero voy a intentar","No estoy preparada, pero voy a intentar"
"no estoy preparado para","no estoy preparada para"
"No estoy preparado para comenzar a aprender","No estoy preparada para comenzar a aprender"
"No estoy preparado para hablar con otras personas","No estoy preparada para hablar con otras personas"
"No estoy preparado para hacer eso en este momento","No estoy preparada para hacer eso en este momento"
"Pienso que no estoy preparado para comenzar todavía","Pienso que no estoy preparada para comenzar todavía"
"No estoy preparado para hablar con tu amigo","No estoy preparada para hablar con tu amigo"
"No estoy preparado para comenzar todavía","No estoy preparada para comenzar todavía"
"No estoy seguro de si estoy preparado todavía","No estoy segura de si estoy preparada todavía"
"No estoy preparado para hablar con tu amigo todavía","No estoy preparada para hablar con tu amigo todavía"
"No estoy preparado para hablar con personas que no conozco todavía","No estoy preparada para hablar con personas que no conozco todavía"
"No estoy preparado para pensar rápido para responder","No estoy preparada para pensar rápido para responder"
"No estoy preparado a tiempo","No estoy preparada a tiempo"
"No estoy preparado para responder a tiempo","No estoy preparada para responder a tiempo"
"No estoy preparado para ir a casa","No estoy preparada para ir a casa"
"No, no estoy preparado todavía, necesito un poco más de tiempo.","No, no estoy preparada todavía, necesito un poco más de tiempo."
"no estoy preparado todavía","no estoy preparada todavía"
"No, no estoy preparado todavía","No, no estoy preparada todavía"
"Pienso que no estoy preparado todavía","Pienso que no estoy preparada todavía"
"Sí, estoy preparado para ir tan pronto como quieras.","Sí, estoy preparada para ir tan pronto como quieras."
"estoy preparado","estoy preparada"
"Estoy preparado","Estoy preparada"
"Estoy preparado ahora","Estoy preparada ahora"
"Pienso que estoy preparado","Pienso que estoy preparada"
"Estoy preparado para hablar","Estoy preparada para hablar"
"Estoy preparado para responder","Estoy preparada para responder"
"Pienso que estoy preparado para ir a casa","Pienso que estoy preparada para ir a casa"
"Estoy preparado para continuar haciendo esto","Estoy preparada para continuar haciendo esto"
"estoy preparado para ir","estoy preparada para ir"
"Estoy preparado para ir a casa","Estoy preparada para ir a casa"
"Pienso que estoy preparado para ir","Pienso que estoy preparada para ir"
"Estoy preparado para ir en el próximo autobús","Estoy preparada para ir en el próximo autobús"
"Estoy preparado tan pronto como quieras","Estoy preparada tan pronto como quieras"
"Estoy preparado para ir tan pronto como quieras","Estoy preparada para ir tan pronto como quieras"
"Pienso que estoy preparado tan pronto como quieras","Pienso que estoy preparada tan pronto como quieras"
"Estoy preparado para ir a casa tan pronto como quieras","Estoy preparada para ir a casa tan pronto como quieras"
"Pienso que estoy preparado para ir tan pronto como quieras","Pienso que estoy preparada para ir tan pronto como quieras"
"Debería considerar jugar tan pronto como estoy preparado","Debería considerar jugar tan pronto como estoy preparada"
"estoy preparado para tener","estoy preparada para tener"
"Yo habría estado preparado para buscar en otro lugar.","Yo habría estado preparada para buscar en otro lugar."
"yo habría estado preparado para ayudar","yo habría estado preparada para ayudar"
"habría estado preparado","habría estado preparada"
"habría estado preparado para ayudar","habría estado preparada para ayudar"
"habría estado preparado para buscar","habría estado preparada para buscar"
"yo habría estado preparado para conducir","yo habría estado preparada para conducir"
"habría estado preparado si me hubieras dicho","habría estado preparada si me hubieras dicho"
"habría estado preparado para hacer lo sensato en ese momento","habría estado preparada para hacer lo sensato en ese momento"
"estoy preparado para buscar","estoy preparada para buscar"
"yo habría estado preparado para buscar","yo habría estado preparada para buscar"
"estaba preparado para buscar trabajo ayer","estaba preparada para buscar trabajo ayer"
"yo habría estado preparado para buscar trabajo si hubiera sabido lo que sé ahora","yo habría estado preparada para buscar trabajo si hubiera sabido lo que sé ahora"
"yo habría estado preparado para buscar en otro lugar","yo habría estado preparada para buscar en otro lugar"
"yo habría estado preparado para buscar en otro lugar para trabajo si me hubieras dicho","yo habría estado preparada para buscar en otro lugar para trabajo si me hubieras dicho"
"yo habría estado preparado para buscar en otro lugar si hubiera sabido lo que sé ahora","yo habría estado preparada para buscar en otro lugar si hubiera sabido lo que sé ahora"
"está cerca de otro lugar donde habría estado preparado para buscar trabajo","está cerca de otro lugar donde habría estado preparada para buscar trabajo"
"está cerca de donde estaba preparado para buscar trabajo en ese momento","está cerca de donde estaba preparada para buscar trabajo en ese momento"
"habría estado preparado para buscar trabajo cerca de donde vive tu familia","habría estado preparada para buscar trabajo cerca de donde vive tu familia"
"No estoy seguro si puedo recordar toda la oración.","No estoy segura si puedo recordar toda la oración."
"no estoy seguro","no estoy segura"
"No estoy seguro","No estoy segura"
"No estoy seguro ahora","No estoy segura ahora"
"No estoy seguro hoy","No estoy segura hoy"
"No estoy seguro si puedo","No estoy segura si puedo"
"No estoy seguro si puedo hablar","No estoy segura si puedo hablar"
"No estoy seguro si puedo aprender","No estoy segura si puedo aprender"
"No estoy seguro si puedo hablar español","No estoy segura si puedo hablar español"
"No estoy seguro si puedo explicar lo que quiero decir","No estoy segura si puedo explicar lo que quiero decir"
"No estoy seguro si puedo recordar","No estoy segura si puedo recordar"
"No estoy seguro si puedo recordar una palabra","No estoy segura si puedo recordar una palabra"
"No estoy seguro si puedo recordar algo en español","No estoy segura si puedo recordar algo en español"
"No estoy seguro si puedo recordar toda la oración","No estoy segura si puedo recordar toda la oración"
"no estoy seguro si puedo adivinar","no estoy segura si puedo adivinar"
"no estoy seguro si quiero intentar adivinar","no estoy segura si quiero intentar adivinar"
"no estoy seguro si hablas español con alguien más","no estoy segura si hablas español con alguien más"
"no estoy seguro si hablas español lo más frecuentemente posible","no estoy segura si hablas español lo más frecuentemente posible"
"no estoy seguro si hablas español muy bien con alguien más","no estoy segura si hablas español muy bien con alguien más"
"no estoy seguro si hablas español muy bien","no estoy segura si hablas español muy bien"
"no estoy seguro cuál es la respuesta","no estoy segura cuál es la respuesta"
"No estoy seguro si puedo saber todo antes de que tenga que ir","No estoy segura si puedo saber todo antes de que tenga que ir"
