defect,character,track,pod_sentence_id,text,course_audio_id,s3_key
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S003,James ydw i. Braf cyfarfod â chi.,64e06b2a-62df-477a-a17d-2181e49f4046,mastered/BEB833A0-D0D2-4EB6-9DAB-7286CC779C7A.mp3
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S005,"Dw i'n dwad o Fanceinion,… ond dw i'n byw yn Llundain… rŵan. A chi?",4fd3603e-659a-4108-9b11-e404d8bee5fc,mastered/F02C81AF-B74A-4757-B44D-87F6EDA521FE.mp3
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S007,Mae hon yn ddinas hyfryd. Be dach chi'n 'neud?,bf6bb423-5944-4622-936e-f6b4a74a739a,mastered/FB47ADF6-05E0-4802-BF7D-82648FF7C07B.mp3
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S009,"Mae'n ddrwg gen i,… wnes i ddim eich dallt chi. Dw i'n dysgu Cymraeg. Fedrwch chi ddeud hynna… eto'n arafach?",c5163aeb-0d38-4c3a-93b8-cdd2eb2c9f6b,mastered/D60ED9B0-BB23-47CB-BE08-F803038FCDE8.mp3
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S011,"Dw i'n dysgu Saesneg,… ond dim mewn ysgol. Dw i'n gweithio… efo oedolion. Dw i yma ar wyliau… efo fy ngwraig a'r plant. Dan ni'n cael amser hyfryd.",52892b49-30d9-46f9-85e9-d1ca9d157b58,mastered/077A716B-E4EC-42D6-BF11-F1587ED5D190.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC06-S013,Un. Dau. Tri. Gwyn. Du.,05a3ae65-ddcb-459f-87b4-16340f09b4c1,mastered/2C64926D-974F-4597-9764-391015700DFA.mp3
clipped,Customer 3,Welsh (target),cym_n_for_eng:pod-0:SC07-S013,"Bore da. Dau Americano… a phaned o de,… os gwelwch yn dda.",9a383a03-fc26-4096-b02e-81e0e557b6a5,mastered/FFDCD415-1868-4ED6-96D2-7CD46A87E335.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC07-S015,Pump. Deg. Pymtheg. Coch. Gwyrdd.,87e39d6c-0d40-4875-bcb8-c29f198a1bf2,mastered/08AADDE9-08E4-4B54-968F-3D7226137615.mp3
clipped,Customer 3,Welsh (target),cym_n_for_eng:pod-0:SC08-S006,Ga i weld y rhestr gwin? Dw i isio gwydrad o win.,9fd7ad31-42cb-4dca-bb82-a47a23699cc5,mastered/5B681223-F8A4-4CC1-B419-D09D622CCF80.mp3
clipped,Customer 3,Welsh (target),cym_n_for_eng:pod-0:SC08-S008,"Liciwn i wydraid mawr… o win gwyn,… os gwelwch yn dda.",454eea4f-5bc3-4423-b3a6-14fa1c3eaf3d,mastered/2F312A95-95ED-4254-B8DD-77CF7E7213D5.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC08-S016,Pedwar. Chwech. Wyth. Glas. Melyn.,e9da848b-5cd3-43ed-ba76-2bfe2f3ec982,mastered/8265D332-A32F-4D69-A054-F22C04043287.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S002,"Croeso. Dewch ar fy ôl i,… os gwelwch yn dda. Dyma'r bwydlenni.",7f3c3fff-ebba-4609-8a48-15f6831a0ef7,mastered/9F718E6C-EFF9-48B4-A83E-7879FF9F0A95.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S003,Fasech chi'n licio… dŵr llonydd… neu ddŵr pefriog i ddechrau?,2a274896-3144-413d-a3e5-1421ae3b9c0e,mastered/BF6763E5-2C70-496D-9EF9-2D41BF8BE734.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S006,"Oes… mae'r eog a'r risotto… heb glwten,… y ddau ohonyn nhw. Mae gynnon ni saladau… hefyd.",f070f10f-a04c-4437-9230-a0bd44b95048,mastered/54CBAC91-CF13-4976-8333-213E12AFEB79.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S008,"Mae'r oen yn ardderchog. Mae o… wedi'i goginio'n… araf, efo rhosmari.",09ba841f-2fbb-459c-aa2a-ea418a4f4de4,mastered/57AF73F2-EEC6-4ACB-897A-AECE5C0AF430.mp3
clipped,Customer 2,Welsh (target),cym_n_for_eng:pod-0:SC09-S010,A'r risotto i mi. Efo salad gwyrdd bach i ddechrau.,d3f35b06-8b9f-4210-8595-9cb2b398af71,mastered/B3F336B7-0670-421B-86EA-5C077055ABED.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S011,Wrth gwrs. A be fasech chi'n licio… i'w yfed?,167d5c79-4304-4690-905a-80dfc7aa0858,mastered/90E63BD5-6C56-4C4E-88D7-540BFC8595D4.mp3
clipped,Customer 2,Welsh (target),cym_n_for_eng:pod-0:SC09-S013,Mi fasai potel o win coch y tŷ yn hyfryd.,da519751-3356-4192-8053-200d2ba3480f,mastered/98966362-E48F-4FAE-A057-DE8575B1A40E.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S014,Dewis ardderchog. Mi ddo i â hi draw rŵan.,f21ddd60-3bdb-42c7-bb1a-ba65d84a66cd,mastered/7BF3B52C-7041-496D-82B1-5231F5D3407A.mp3
clipped,Waiter,Welsh (target),cym_n_for_eng:pod-0:SC09-S015,Ydy popeth yn iawn? Oes gynnoch chi le am bwdin?,907e49a9-6618-4497-aa47-36a4507ecbc9,mastered/1D81BE7B-F90C-4D5F-BE14-7FD9AFDB525E.mp3
clipped,Customer 2,Welsh (target),cym_n_for_eng:pod-0:SC09-S017,"A'r bil, pan fyddwch chi'n barod. Fedrwn ni ei rannu fo?",40749ac9-447c-4180-845d-8a5687d623ff,mastered/329CB979-69AB-4B34-A7B1-68F03C1B55A9.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC09-S018,Saith. Naw. Un deg un. Oren. Porffor.,11911e74-5664-4d7e-8376-e89508bba69c,mastered/6554AE8A-BBF4-467A-84AE-9B7F73F66240.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC10-S001,Esgusodwch fi. Oes gynnoch chi dabledi… lladd poen?,2a914997-7253-4aa5-b1b2-eef177792c1e,mastered/EAA7D0B2-BD9F-4424-A5F7-70CDA244D3BC.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC10-S003,Diolch. Ac oes gynnoch chi… dabledi lladd poen i blant?,cff05c0f-ce10-4347-8d03-d758793cea3d,mastered/B9452CCC-66AC-420B-AFB5-CC77073E7083.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC10-S005,Dw i angen cael… rhyw eli haul… a rhyw bast dannedd hefyd.,3653ef68-9267-47e0-8ba1-1bbff5d30b9b,mastered/AAEEC3AD-298B-4298-9D81-9502D0C283A2.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC10-S007,"Diolch,… dach chi 'di bod yn help mawr. Dw i'n ddiolchgar iawn.",33a7dc09-e633-4663-a250-64280057249f,mastered/2333485F-3A34-4D6D-8089-8E83FF8C39AE.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC10-S009,"Mae hynna'n garedig iawn! Ydw,… dw i yma ar wyliau,… a dw i angen ymarfer… mwy i siarad Cymraeg yn well. Diolch yn fawr, a hwyl.",cad099e9-ca76-4fe5-9db7-06d893202593,mastered/0F180901-9993-45CF-96F5-2327D9E379A4.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC10-S010,Deuddeg. Un deg tri. Un deg pedwar. Pinc. Llwyd.,3c090ca7-4ca3-4b38-86a6-0d7dc4d79f1f,mastered/A64A5545-552C-44F7-A0D1-90995FA50314.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S001,Prynhawn da. Mae gen i stafell… dan yr enw Jones.,7e903050-d40a-4e1d-9c85-028b8da78a0b,mastered/58652E3E-24F4-443F-A424-4A0094F7A88E.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S001,Prynhawn da. Mae gen i stafell wedi'i bwcio dan yr enw Jones.,8080c64c-dada-4005-8452-9ad946b86bef,mastered/9CE7BE77-57F6-463E-A34F-F0CC24B9E3A0.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S003,Wrth gwrs. Dyma fy mhasbort i.,39356934-7197-427b-b2cd-96b44f9fad96,mastered/14117585-81B0-483A-B235-A18E880E42A4.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S005,Oes gan y stafell olygfa?,c12d0097-f768-4a43-9c86-2a69fae833a2,mastered/C5B30F68-C814-4556-A3F6-29B30F695DBC.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S007,Am faint o'r gloch mae brecwast yn cael ei weini?,29b62e95-f372-45eb-aeac-b317f1574f5b,mastered/D3CDC9C1-0287-4FC5-B5B8-A61895935AE4.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S009,Ardderchog. Ydy hi'n bosib i ni gael check-out hwyr?,9a72b30c-9779-4f91-82dc-eb38b1f9de9f,mastered/FFEFD6C4-CD9E-43A9-9C61-259B452EEDF0.mp3
clipped,Guest,Welsh (target),cym_n_for_eng:pod-0:SC11-S011,A be ydy cyfrinair y wifi?,d3fe2e0a-f1d2-4ad6-9216-79c8890d2449,mastered/55FC3A6A-5F9D-446B-946A-06049E72DD60.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC11-S013,Un deg chwech. Un deg saith. Un deg wyth. Dydd Llun. Dydd Mawrth.,1561b9bd-0e1a-4edf-b585-5f55e222a041,mastered/64A49DF2-8813-4AE5-98B6-5CCE134530D5.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC12-S001,Bore da. Dw i ddim yn… teimlo'n grêt —… fedrwch chi argymell rhywbeth?,59403696-089b-4e0a-99b7-b76931535baf,mastered/F2CBCF73-524F-4935-8F05-9B7151105391.mp3
clipped,Pharmacist,Welsh (target),cym_n_for_eng:pod-0:SC12-S002,Wrth gwrs. Be ydi'ch symptomau chi?,f44238b2-af98-4d5f-bd6c-303b68d36d24,mastered/7F854427-E704-4DE4-B76F-8F30FA786406.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC12-S003,Dw i wedi cael cur pen… a gwddw drwg ers ddoe.,2b451a6e-1887-494c-a005-080a1c359406,mastered/7F5C16F6-1059-4F12-A1DF-104E1D519447.mp3
clipped,Pharmacist,Welsh (target),cym_n_for_eng:pod-0:SC12-S004,"Triwch barasetamol at y cur pen, a'r losenni yma at y gwddw.",95c0369c-75fa-4514-949a-3e9efe650a9e,mastered/36932C08-88D5-4D2F-A610-AAD5E1CC99B6.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC12-S005,Pa mor aml ddylwn i gymryd… y parasetamol?,ea6d3e88-4a26-4189-9038-466454f95bc0,mastered/EEBD1163-D146-4188-B650-F054BEF20C67.mp3
clipped,Pharmacist,Welsh (target),cym_n_for_eng:pod-0:SC12-S006,"Un bob pedair i chwe awr, dim mwy nag wyth mewn diwrnod.",0eacf6d2-6498-41f6-bfe7-05f4cc0473a5,mastered/B112F5A4-698A-4FEA-B2D1-620F22C89058.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC12-S007,Ydi hi'n iawn… i'w cymryd efo bwyd?,96fd51d3-dda5-4683-b483-995d3fa0dc27,mastered/925D8D28-5360-4E00-BF92-3277525014B5.mp3
clipped,Pharmacist,Welsh (target),cym_n_for_eng:pod-0:SC12-S008,"Yndi, efo bwyd… neu ar ôl bwyd sydd orau.",a70756ca-dd41-4e2c-ae58-5e258ed48371,mastered/64CA0D32-8F49-4A79-97B1-CB4C0CCA1583.mp3
clipped,Pharmacist,Welsh (target),cym_n_for_eng:pod-0:SC12-S008,"Ydi, efo bwyd neu ar ôl bwyd sydd orau.",14d7e64e-7eff-4eec-9532-d7449ed8882a,mastered/3A8D617B-BA37-4561-9B68-14748AD283B1.mp3
clipped,Customer,Welsh (target),cym_n_for_eng:pod-0:SC12-S009,Diolch. Fedra i gael… paced o blasters hefyd?,40c69bf7-c3a9-424a-9a55-e6028121c6cd,mastered/D77B0CEE-9DD1-485E-B5F4-ACFBEBF9A762.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC12-S010,Un deg naw. Dau ddeg. Dau ddeg un. Dydd Mercher. Dydd Iau.,ba2df779-7e75-4efb-8c72-fa5864a03f85,mastered/6F09D142-88B2-48D2-B462-B48A28ADF747.mp3
clipped,Tourist,Welsh (target),cym_n_for_eng:pod-0:SC13-S001,"Esgusodwch fi, dach chi'n gwybod sut i fynd i'r archfarchnad agosa?",10d92557-c81b-4ef0-ba39-065c0255cfd7,mastered/0374A268-63A5-4976-901F-F553E886C623.mp3
clipped,Local,Welsh (target),cym_n_for_eng:pod-0:SC13-S002,"Ydw,… mae hi tua deng munud… o gerddad. Ewch yn syth… ar hyd y ffordd yma.",1f3bea80-3c5c-49eb-a3d2-e9f0b0b77da4,mastered/936ECA87-BCF0-4CCC-A451-ECE7895003F8.mp3
clipped,Tourist,Welsh (target),cym_n_for_eng:pod-0:SC13-S003,Heibio'r eglwys yna?,25a0704f-451e-4bd3-b453-100662ceb62c,mastered/42225F13-F15F-40FD-B674-3660D84962A8.mp3
clipped,Local,Welsh (target),cym_n_for_eng:pod-0:SC13-S004,"Ia,… heibio'r eglwys a'r… swyddfa bost.",e224128d-e2a3-4bb1-a742-5cedb2b3f240,mastered/C54B5EF4-08D7-4502-8E16-FD661A4C72ED.mp3
clipped,Local,Welsh (target),cym_n_for_eng:pod-0:SC13-S005,"Wrth yr ail gylchfan,… cymrwch yr allanfa gynta.",b6e0684b-881e-4e2f-9aa3-b2e93713a63e,mastered/A81829E4-0E37-4DE8-929A-AB0E7617A468.mp3
clipped,Tourist,Welsh (target),cym_n_for_eng:pod-0:SC13-S006,A wedyn?,2d713b15-6bcc-429c-b072-2624e636774a,mastered/4ED44ACE-F01E-4FCB-83D2-E328BD7BCF80.mp3
clipped,Local,Welsh (target),cym_n_for_eng:pod-0:SC13-S007,"Mi welwch chi'r archfarchnad… ar eich chwith,… yn union gyferbyn… â'r safle bws.",30a5441c-fe34-4201-9478-499659eb5f44,mastered/426AC416-0B41-401D-958D-249FD93A3A27.mp3
clipped,Tourist,Welsh (target),cym_n_for_eng:pod-0:SC13-S008,Ardderchog. Ac oes 'na beiriant arian… yn agos?,28c36a48-625c-4e67-b333-2c4b583c56e9,mastered/E49FCA22-3647-462D-8DF3-7EE8854E6ED0.mp3
clipped,Local,Welsh (target),cym_n_for_eng:pod-0:SC13-S009,"Oes, mae 'na un ar y stryd fawr,… wrth ymyl y becws.",fbb059ba-9af8-4e02-8284-ce6f2a6c7a69,mastered/901B2C18-3265-48BD-B124-38C314A482B5.mp3
clipped,Tourist,Welsh (target),cym_n_for_eng:pod-0:SC13-S010,Diolch yn fawr. Dach chi wedi bod yn help mawr.,5a61834f-fb53-4fd8-8162-ca13ad763164,mastered/CF756796-1617-431B-B3CB-334D11EB30E2.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC13-S011,Tri deg. Pedwar deg. Pum deg. Dydd Gwener. Dydd Sadwrn.,6320cafd-00dd-4a7c-8305-7baedb5184c5,mastered/E05D46CC-11B8-4786-8266-1858A276A7FC.mp3
clipped,Driver,Welsh (target),cym_n_for_eng:pod-0:SC14-S002,"Medra, wrth gwrs. Falla bydd o'n cymryd… dipyn o amser,… mae 'na lot o draffig… ar hyn o bryd.",1e9d934f-66c2-4294-9304-623bc4380159,mastered/1DED0977-1768-407B-BB09-3B79EC1CC613.mp3
clipped,Driver,Welsh (target),cym_n_for_eng:pod-0:SC14-S004,"Falla tua ugain munud,… os nad ydan… ni'n anlwcus… efo'r goleuadau traffig.",39f8f2da-7ca9-4746-ac0c-fe85e3ac4aa6,mastered/801B87E7-558E-4BD8-9DE1-7EFB0B35491B.mp3
clipped,Driver,Welsh (target),cym_n_for_eng:pod-0:SC14-S006,"Yndw, mi wna i'ch gollwng chi… reit wrth y swyddfa docynnau.",62c5c488-6cbf-4eb7-a3e3-d62dfac6cfc2,mastered/C6D0906C-673E-4034-B637-5F5639BA23F8.mp3
clipped,Driver,Welsh (target),cym_n_for_eng:pod-0:SC14-S007,Dyma ni. Deuddeg punt pum deg… ydi hynna.,2c1d29b7-2cf7-482f-b5fc-b140aa7d9fcd,mastered/6C44EEB3-CD9A-4ADC-AEB8-0B76D58FBF0A.mp3
clipped,Driver,Welsh (target),cym_n_for_eng:pod-0:SC14-S009,"Medrwch, wrth gwrs. Mae'r peiriant yn fan hyn.",a37a587b-b327-4bcb-90d6-503d7af775d5,mastered/0CCABF44-94C6-49EC-9C25-7C8CD8293D8F.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC14-S010,Cant. Dau gant. Mil. Dydd Sul. Deuddeg o'r gloch.,e560e325-ef1d-432f-bf7a-ddb127b16e26,mastered/159B1BC1-0962-4634-AFD2-F850A55E0366.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC15-S011,Can mil. Chwe deg. Saith deg. Un o'r gloch. Un ar ddeg o'r gloch.,185d5d9d-bddd-4218-8fef-0f2f13a26f8c,mastered/6AC24E92-E20B-4CA3-B24C-928E0F7F8C95.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC16-S011,Miliwn. Wyth deg. Naw deg. Dau o'r gloch. Deg o'r gloch.,b0f67e78-3480-4538-9dea-9b098ff44101,mastered/D820B822-3739-4F5A-8A36-12537518B23B.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC17-S011,Tri o'r gloch. Naw o'r gloch. Ionawr. Chwefror.,717de150-0621-4cd7-93b1-fc44dc31284b,mastered/71851266-718F-4D56-8D58-5AB335A34DA5.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC18-S011,Pedwar o'r gloch. Wyth o'r gloch. Mawrth. Ebrill.,ec23f6c5-cbc6-48e0-9264-a3382783e101,mastered/538848D4-B791-453E-B034-00218A63B92E.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC19-S011,Pump o'r gloch. Saith o'r gloch. Mai. Mehefin.,2f03f8fd-4dc4-4023-8b27-550cccfdfc7f,mastered/91F48936-406C-4755-9200-56DE3A2279DC.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC20-S011,Chwech o'r gloch. Gorffennaf. Awst. Medi.,5d772e9f-f17f-4770-9dc9-3c8a145d3971,mastered/CD1AF9EE-5FDF-4EA4-B459-91BF7E3C31EB.mp3
clipped,Narrator,Welsh (target),cym_n_for_eng:pod-0:SC21-S014,Hydref. Tachwedd. Rhagfyr.,5efa066e-6883-475a-966e-6da864a3f2db,mastered/C653DBD8-2691-417D-BAA4-F478486FBCE7.mp3
clipped,Friend,Welsh (target),cym_n_for_eng:pod-0:SC22-S002,"Wrth gwrs, dim problem. Ti i'w weld… yn siarad yn dda iawn. Dw i'n dallt chdi'n iawn.",30b83d1d-aa55-4d0a-8d0b-62e3d9a1438b,mastered/AE3400B0-C4DD-48E9-B92B-E90BAD39FA92.mp3
clipped,Friend,Welsh (target),cym_n_for_eng:pod-0:SC22-S004,Ydw i'n siarad… yn ddigon araf… i chdi rŵan?,cd66d279-c22f-423e-90cd-b87d2b169c4d,mastered/310DB51C-150D-48AD-BACE-9CF8E1914FA5.mp3
clipped,Friend,Welsh (target),cym_n_for_eng:pod-0:SC22-S006,Dw i'n meddwl… dy fod ti'n gwneud… yn dda iawn. Dw i wedi synnu. Dw i'n meddwl… dy fod ti'n barod… i ddechrau siarad Cymraeg… efo unrhyw un… sy'n siarad Cymraeg.,917b2577-8385-4bb0-9156-82f2a6493e94,mastered/23A4ABAA-F45C-42BB-92A9-34CAAD72A832.mp3
clipped,Friend,Welsh (target),cym_n_for_eng:pod-0:SC22-S008,"Dylat ti fod yn hyderus… yn barod. Dw i'n meddwl… dy fod ti'n gwneud… yn llawer gwell… na ti'n sylweddoli. Dw i'n… teimlo'n gyfforddus… yn siarad efo chdi,… a dw i ddim yn siarad… yn araf iawn.",7af616b8-4382-4c1f-b250-caeb2fadd8d4,mastered/E6C54434-46DD-4DF1-8BB5-51F1290B9392.mp3
clipped,Friend,Welsh (target),cym_n_for_eng:pod-0:SC22-S010,Dw i'n meddwl… bod hynna'n normal. Mae dysgu iaith newydd… yn anodd. Ond mae o'n gymaint o hwyl… pan ti'n dechrau cael sgwrs… tydy?,036acf33-dac6-43e6-8963-a274ee8113c1,mastered/99B8AF7E-7F47-4477-9FB5-E1D6C0AB76CD.mp3
