course|role|declared_gender|voice|voice_gender|use_gender
spa_for_eng|Elena|f|Elvira|f|f
spa_for_eng|Friend|m|Manuel|m|m
spa_for_eng|Guardia|n|Manuel|m|m
spa_for_eng|Guest|m|Manuel|m|m
spa_for_eng|James|m|Manuel|m|m
spa_for_eng|Learner|m|Manuel|m|m
spa_for_eng|Learner|n|Elvira|f|f
spa_for_eng|Local|m|Manuel|m|m
spa_for_eng|Narrator|n|Manuel|m|m
spa_for_eng|Narrator|n|Elvira|f|f
spa_for_eng|Neighbour|m|Manuel|m|m
spa_for_eng|Pablo|m|Manuel|m|m
spa_for_eng|Passenger|n|Elvira|f|f
spa_for_eng|Passenger|n|Manuel|m|m
spa_for_eng|Pharmacist|m|Manuel|m|m
spa_for_eng|Receptionist|f|Elvira|f|f
spa_for_eng|Sarah|f|Elvira|f|f
spa_for_eng|Tourist|m|Manuel|m|m
spa_for_eng|Waiter|m|Manuel|m|m
(125 rows)
